Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2020
02462;Mareuil-en-Dôle;229
02463;Marfontaine;87
02464;Margival;366
02465;Marigny-en-Orxois;527
02466;Marizy-Sainte-Geneviève;131
02467;Marizy-Saint-Mard;50
02468;Marle;2219
02469;Marly-Gomont;487
02470;Martigny;433
02471;Martigny-Courpierre;136
02472;Mauregny-en-Haye;404
02473;Mayot;219
02474;Mennessis;394
02476;Mennevret;669
02477;Mercin-et-Vaux;964
02478;Merlieux-et-Fouquerolles;259
02480;Mesbrecourt-Richecourt;316
02481;Mesnil-Saint-Laurent;480
02482;Meurival;55
02483;Mézières-sur-Oise;511
02484;Mézy-Moulins;532
02485;Missy-aux-Bois;95
02486;Missy-lès-Pierrepont;106
02487;Missy-sur-Aisne;620
02488;Molain;158
02489;Molinchart;348
02490;Monampteuil;124
02491;Monceau-le-Neuf-et-Faucouzy;322
02492;Monceau-lès-Leups;445
02493;Monceau-le-Waast;223
02494;Monceau-sur-Oise;127
02495;Mondrepuis;1043
02496;Monnes;98
02497;Mons-en-Laonnois;1151
02498;Montaigu;762
02499;Montbavin;42
02500;Montbrehain;807
02501;Montchâlons;97
02502;Montcornet;1291
02503;Mont-d'Origny;827
02504;Montescourt-Lizerolles;1608
02505;Montfaucon;207
02506;Montgobert;197
02507;Montgru-Saint-Hilaire;31
02508;Monthenault;152
02509;Monthiers;153
02510;Monthurel;146
02511;Montigny-en-Arrouaise;302
02512;Montigny-l'Allier;269
02513;Montigny-le-Franc;136
02514;Montigny-Lengrain;702
02515;Montigny-lès-Condé;53
02516;Montigny-sous-Marle;69
02517;Montigny-sur-Crécy;295
02518;Montlevon;301
02519;Montloué;188
02520;Mont-Notre-Dame;737
02521;Montreuil-aux-Lions;1374
02522;Mont-Saint-Jean;73
02523;Mont-Saint-Martin;71
02524;Mont-Saint-Père;692
02525;Morcourt;566
02526;Morgny-en-Thiérache;102
02527;Morsain;461
02528;Mortefontaine;223
02529;Mortiers;180
02530;Moulins;78
02531;Moussy-Verneuil;125
02532;Moÿ-de-l'Aisne;983
02533;Muret-et-Crouttes;108
02534;Muscourt;47
02535;Nampcelles-la-Cour;113
02536;Nampteuil-sous-Muret;104
02537;Nanteuil-la-Fosse;203
02538;Nanteuil-Notre-Dame;74
02539;Nauroy;699
02540;Nesles-la-Montagne;1216
02541;Neufchâtel-sur-Aisne;420
02542;Neuflieux;80
02543;Neuilly-Saint-Front;2055
02544;Neuve-Maison;613
02545;La Neuville-Bosmont;187
02546;La Neuville-en-Beine;188
02547;La Neuville-Housset;66
02548;La Neuville-lès-Dorengt;382
02549;Neuville-Saint-Amand;849
02550;Neuville-sur-Ailette;120
02551;Neuville-sur-Margival;110
02552;Neuvillette;190
02553;Nizy-le-Comte;247
02554;Nogentel;1100
02555;Nogent-l'Artaud;2095
02556;Noircourt;77
02557;Noroy-sur-Ourcq;128
02558;Le Nouvion-en-Thiérache;2531
02559;Nouvion-et-Catillon;483
02560;Nouvion-le-Comte;245
