,LATITUDE,LONGITUDE,TIME_EVENT,COUNTRY,YEAR,NEAREST_CITY,Population municipale 2020
2487,43.3,5.4,2018-08-09 16:10:00,FR,2018,Plan-de-Cuques,11522
2488,43.283,5.567,2018-08-09 10:42:00,FR,2018,Aubagne,47190
2489,46.1,3.567,2018-08-07 20:00:00,FR,2018,Molles,924
2490,48.8,0.3,2018-08-07 16:30:00,FR,2018,Livarot-Pays-d'Auge,6183
2491,43.953,6.864,2018-08-04 14:15:00,FR,2018,Puget-Thniers,1826
2492,43.15,1.55,2018-08-01 16:30:00,FR,2018,Madire,246
2493,44.05,4.433,2018-08-01 16:00:00,FR,2018,Saint-Quentin-la-Poterie,3049
2494,48.859,2.342,2018-07-27 18:00:00,FR,2018,Gentilly,18813
2495,48.833,2.417,2018-07-27 17:00:00,FR,2018,Saint-Mand,21991
2496,48.783,2.4,2018-07-27 17:00:00,FR,2018,Vitry-sur-Seine,95649
2497,51.05,2.533,2018-07-27 14:45:00,FR,2018,Ghyvelde,4111
2498,46.56,6.065,2018-07-20 15:00:00,FR,2018,Les Rousses,3663
2499,46.535,6.015,2018-07-20 15:00:00,FR,2018,Hauts de Bienne,5226
2500,43.805,0.897,2018-07-20 01:50:00,FR,2018,Mauvezin,2237
2501,43.767,0.883,2018-07-20 01:45:00,FR,2018,Mauvezin,2237
2502,43.8,0.819,2018-07-20 01:40:00,FR,2018,Mauvezin,2237
2503,44.45,-0.05,2018-07-15 15:35:00,FR,2018,Bazas,4806
2504,44.467,-0.067,2018-07-15 15:25:00,FR,2018,Bazas,4806
2505,44.9,-0.667,2018-07-15 15:20:00,FR,2018,Le Taillan-Mdoc,10416
2506,44.917,-0.633,2018-07-15 15:20:00,FR,2018,Blanquefort,15276
2507,44.883,-0.65,2018-07-15 15:15:00,FR,2018,Eysines,24202
2508,44.883,-0.617,2018-07-15 15:15:00,FR,2018,Bruges,19863
2509,44.9,-0.733,2018-07-15 15:15:00,FR,2018,Saint-Aubin-de-Mdoc,7574
2510,44.867,-0.683,2018-07-15 15:10:00,FR,2018,Le Haillan,11567
2511,44.533,-0.117,2018-07-15 15:10:00,FR,2018,La Role,4351
2512,44.52,-0.152,2018-07-15 15:10:00,FR,2018,Langon,7366
2513,45.617,4.933,2018-07-15 15:00:00,FR,2018,Chaponnay,4411
2514,45.667,4.85,2018-07-15 14:50:00,FR,2018,Feyzin,9926
2515,45.633,4.833,2018-07-15 14:50:00,FR,2018,Srzin-du-Rhne,2906
2516,45.683,4.8,2018-07-15 14:45:00,FR,2018,Saint-Genis-Laval,20971
2517,45.667,4.817,2018-07-15 14:45:00,FR,2018,Irigny,8805
2518,45.667,4.717,2018-07-15 14:35:00,FR,2018,Soucieu-en-Jarrest,4613
2519,45.683,4.633,2018-07-15 14:25:00,FR,2018,Thurins,3111
2520,44.417,2.22,2018-07-04 17:45:00,FR,2018,Vaureilles,490
2521,44.783,2.05,2018-07-04 17:15:00,FR,2018,Maurs,2107
2522,44.75,2.0,2018-07-04 17:15:00,FR,2018,Saint-Cr,3427
2523,44.467,1.233,2018-07-04 16:30:00,FR,2018,Cahors,20159
